,PLAYER,POS,FPTS,VOR,VALUERANK
153,Dexter Williams,RB,3.6999999999999997,-96.89999999999999,425.0
156,Samaje Perine,RB,3.5,-97.1,426.0
157,Tony Brooks-James,RB,3.3,-97.3,427.0
136,Alex Erickson,WR,24.6,-97.30000000000001,428.0
104,Luke Willson,TE,10.15,-97.39999999999999,429.0
106,Trevon Wesco,TE,10.0,-97.55,430.0
107,Antony Auclair,TE,9.75,-97.8,431.0
134,Vyncint Smith,WR,23.9,-98.0,432.0
135,Tim Patrick,WR,23.849999999999998,-98.05000000000001,433.0
170,Cethan Carter,RB,2.05,-98.55,434.0
137,Jamal Agnew,WR,23.35,-98.55000000000001,435.0
159,Cullen Gillaspia,RB,1.8,-98.8,436.0
139,Damiere Byrd,WR,23.1,-98.80000000000001,437.0
110,Eric Saubert,TE,8.7,-98.85,438.0
158,D.J. Foster,RB,1.7000000000000002,-98.89999999999999,439.5
108,Johnny Mundt,TE,8.65,-98.89999999999999,439.5
160,Elijah McGuire,RB,1.6,-99.0,441.5
113,Robert Tonyan,TE,8.55,-99.0,441.5
111,Isaac Nauta,TE,8.5,-99.05,443.0
161,Trenton Cannon,RB,1.5,-99.1,444.0
112,Stephen Carlson,TE,8.35,-99.2,445.5
109,Ross Dwelley,TE,8.35,-99.2,445.5
114,Hale Hentges,TE,8.2,-99.35,447.0
141,Christian Blake,WR,22.45,-99.45,448.0
142,DaeSean Hamilton,WR,22.4,-99.5,449.0
162,Damarea Crockett,RB,0.8999999999999999,-99.69999999999999,450.0
115,Xavier Grimble,TE,7.85,-99.7,451.0
140,Nelson Agholor,WR,21.9,-100.0,452.5
138,Tavon Austin,WR,21.900000000000002,-100.0,452.5
116,Ross Travis,TE,7.449999999999999,-100.1,454.0
117,Daniel Brown,TE,7.0,-100.55,455.0
176,Chandler Cox,RB,0.0,-100.6,464.0
118,Stephen Anderson,TE,6.95,-100.6,464.0
163,Michael Warren II,RB,0.0,-100.6,464.0
179,Adrian Killins Jr.,RB,0.0,-100.6,464.0
180,Christian Wade,RB,0.0,-100.6,464.0
178,Raymond Calais,RB,0.0,-100.6,464.0
177,Bruce Anderson,RB,0.0,-100.6,464.0
168,T.J. Logan,RB,0.0,-100.6,464.0
169,Jamize Olawale,RB,0.0,-100.6,464.0
